word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
bristle brush,ˈbrisl brʌʃ,, 鬃毛画笔; 鬃刷,,,,,0,0,,,
bristle brush wheel,,,[医] 毛刷轮,,,,,0,0,,,
bristle cells,,,[医] 毛细胞(耳蜗),,,,,0,0,,,
bristle disk,,,[医] 刷磨盘,,,,,0,0,,,
bristle fern,,,[网络] 鬃蕨,,,,,0,0,,,
bristle grass,,,狗尾草属,,,,,0,0,,,
bristle probang,,,[医] 马鬃除便器,,,,,0,0,,,
bristle up,ˈbrisl ʌp,, 昂首作势表示愤怒或轻蔑之意,,,,,0,0,,,
bristle up in anger,,,怒发冲冠,,,,,0,0,,,
bristle wheel,,,[医] 毛轮,,,,,0,0,,,
bristle with,,,充满,,,,,0,0,,,
bristle-pointed,b'rɪslp'ɔɪntɪd,s pointed like bristles, [医]末端有刚毛的,,,,,0,0,,,
bristlecone,'brislkәjn,,"pine[植]狐尾松(生长于美国西部山区,地球上最古老的树木之一)",,,,,0,0,,,
bristlecone fir,,,[网络] bristlecone冷杉,,,,,0,0,,,
bristlecone pine,'brislkəun,,"【植物】狐尾松(Pinus aristata,产于美国西南部)[亦作 hickory pine]",,,,,0,0,,,
bristled,b'rɪsld,imp. & p. p. of Bristle,"a. 有刚毛的, 多刺毛的",,,,,0,0,0:bristle/1:pd,,
bristlegrass,,, 狗尾草属,,,,,0,0,,,
bristlelike,,s resembling a bristle,a. bristle的变形,,,,,0,0,,,
bristlelike monofilament,,,[化] 鬃丝,,,,,0,0,,,
bristles,,n a stiff fiber (coarse hair or filament); natural or synthetic\nn a stiff hair\nv be in a state of movement or action\nv rise up as in fear\nv have or be thickly covered with or as if with bristles\nv react in an offended or angry manner,n. 猪鬃（bristle的复数形式）,,,,,0,0,0:bristle/1:s3,,
bristletail,'brislteil,n small wingless insect with a long bristlelike tail,"n. 蛀虫, 蠹虫",,,,,0,0,s:bristletails,,
bristletails,,plural of bristletail\nn small wingless insect with a long bristlelike tail,"(bristletail 的复数) n.蛀虫, 蠹虫",,,,,0,0,0:bristletail/1:s,,
bristlier,,,a. 有刚毛的；易怒的 (bristly的变形),,,,,0,0,,,
bristliest,,,a. 有刚毛的；易怒的 (bristly的变形),,,,,0,0,,,
bristliness,'brɪslɪnɪs,n. The quality or state of having bristles., 多刺毛性,,,,,0,0,,,
bristling,,v be in a state of movement or action\nv rise up as in fear\nv have or be thickly covered with or as if with bristles\nv react in an offended or angry manner,"a. (毛发)直立的, 发怒的",,,,,36599,32598,0:bristle/1:i/i:bristling,,
bristly,'brisli,s. very irritable,"a. 有刚毛的, 如刚毛的, 易怒的",,,,,33623,24091,,,
bristly locust,,,[网络] 毛洋槐,,,,,0,0,,,
bristly oxtongue,,,[网络] 勇敢的牛仔,,,,,0,0,,,
bristly sarsaparilla,,,[网络] 。。,,,,,0,0,,,
bristly sarsparilla,,,[网络] 。。,,,,,0,0,,,
bristo,,, [人名] 布里斯托,,,,,0,0,,,
Bristol,'bristәl,n. an industrial city and port in southwestern England near the mouth of the River Avon,n. 布里斯托尔(英国西部港口),,,,ielts,2790,0,,,
Bristol Bay,,,布里斯托尔湾（美国阿拉斯加州大陆西南部和阿拉斯加半岛之间的白令海海湾）,,,,,0,0,,,
bristol board,,,[机] 细料纸板,,,,,0,0,,,
Bristol Channel,,,n. （英）布里斯托尔海峡,,,,,0,0,,,
Bristol fashion,,,井然有序的,,,,,0,0,,,
bristol glass,,,[机] 羔釉,,,,,0,0,,,
bristol paper,,,[机] 图案纸,,,,,0,0,,,
bristol-myers,,, [医]勃列斯多？迈耶（药厂名）,,,,,0,0,,,
bristolian,,,n. 布里斯托尔（英国西部的港口城市） (Bristol的变形),,,,,0,0,s:bristolians,,
bristolians,,plural of bristolian,(bristolian 的复数) n. 布里斯托尔（英国西部的港口城市） (Bristol的变形),,,,,0,0,0:bristolian/1:s,,
bristols,ˈbrɪstlz,n. an industrial city and port in southwestern England near the mouth of the River Avon,n. （女子的）乳房,,,,,0,0,,,
Bristow,,,布里斯托（美国地名）,,,,,27417,0,s:bristows,,
Bristowe's syndrome,,,[医] 布里斯透氏综合征(胼胝体瘤综合征),,,,,0,0,,,
Bristows,,plural of Bristow,(Bristow 的复数) 布里斯托（美国地名）,,,,,0,0,0:bristow/1:s,,
brisure,,n. Any part of a rampart or parapet which deviates from the\n   general direction.\nn. A mark of cadency or difference.,"袭痕, 裂缝；铰链连接；折缝；碎片, 断片",,,,,0,0,,,
brisures,,,brisures\nplural of brisure\n,,,,,0,0,,,
brit,brit,n. the young of a herring or sprat or similar fish\nn. minute crustaceans forming food for right whales,"n. 小海生动物, 小鲱鱼",,2,,,11898,0,s:brits,,
brita,,,"n. (Brita)人名；(瑞典、西)布丽塔(女名), 布里塔",,,,,0,0,,,
Britain,'britәn,n a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom,n. 英国,,,,gk ielts,365,0,,,
Britainic,,,a. 英国的,,,,,0,0,,,
Britania metal,,,[机] 不列颠合金,,,,,0,0,,,
Britanic,,,"英国的,不列颠的",,,,,0,0,,,
Britannia,bri'tænjә,"n. A white-metal alloy of tin, antimony, bismuth, copper,\n   etc. It somewhat resembles silver, and is used for table ware. Called\n   also Britannia metal.","n. 大不列颠, 大不列颠之古拉丁文名",,,,,12446,0,,,
Britannia metal,,,[医] 不列颠合金(一种锡、锑、铜的银白色合金),,,,,0,0,,,
Britannic,bri'tænik,a. of Britain,"a. 大不列颠的, 英国的",,,,,37237,0,,,
